SYSCALL(args) 		 = return
Hello World
open("/dev/dtracehelper\0", 0x2, 0xFFFFFFFFEFA16F30)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFEEFA16E40)		 = 0 0
close(0x3)		 = 0 0
mprotect(0x1001E9000, 0x1000, 0x1)		 = 0 0
access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 Err#2
bsdthread_register(0x7FFF70F72B7C, 0x7FFF70F72B68, 0x2000)		 = 1073742047 0
sysctlbyname(kern.bootargs, 0xD, 0x7FFEEFA15F90, 0x7FFEEFA15F80, 0x0)		 = 0 0
issetugid(0x0, 0x0, 0x0)		 = 0 0
ioctl(0x2, 0x4004667A, 0x7FFEEFA162D4)		 = -1 Err#25
ioctl(0x2, 0x40487413, 0x7FFEEFA162D8)		 = -1 Err#25
mprotect(0x1001F4000, 0x1000, 0x0)		 = 0 0
mprotect(0x1001FB000, 0x1000, 0x0)		 = 0 0
mprotect(0x1001FC000, 0x1000, 0x0)		 = 0 0
mprotect(0x100203000, 0x1000, 0x0)		 = 0 0
mprotect(0x1001F2000, 0x90, 0x1)		 = 0 0
mprotect(0x100204000, 0x1000, 0x1)		 = 0 0
mprotect(0x1001F2000, 0x90, 0x3)		 = 0 0
mprotect(0x1001F2000, 0x90, 0x1)		 = 0 0
getentropy(0x7FFEEFA157D0, 0x20, 0x0)		 = 0 0
getentropy(0x7FFEEFA15820, 0x40, 0x0)		 = 0 0
getpid(0x0, 0x0, 0x0)		 = 1681 0
stat64("/AppleInternal\0", 0x7FFEEFA16400, 0x0)		 = -1 Err#2
csops_audittoken(0x691, 0x7, 0x7FFEEFA15F50)		 = 0 0
proc_info(0x2, 0x691, 0xD)		 = 64 0
csops_audittoken(0x691, 0x7, 0x7FFEEFA157D0)		 = 0 0
posix_spawn(0x0, 0x7F8C70C05830, 0x7FFEEFA179F0)		 = 0 0
thread_selfid(0x0, 0x0, 0x0)		 = 20471 0
mprotect(0x1114F9000, 0x5000, 0x1)		 = 0 0
csrctl(0x0, 0x7FFEE787BF4C, 0x4)		 = -1 Err#1
fsgetpath(0x7FFEE787BB60, 0x400, 0x7FFEE787BB58)		 = 14 0
fsgetpath(0x7FFEE787BB60, 0x400, 0x7FFEE787BB58)		 = 100 0
csrctl(0x0, 0x7FFEE787BF6C, 0x4)		 = -1 Err#1
__mac_syscall(0x1114F6725, 0x5A, 0x7FFEE787BF60)		 = 0 0
csrctl(0x0, 0x7FFEE787BF6C, 0x4)		 = -1 Err#1
shared_region_check_np(0x7FFEE787BDD8, 0x0, 0x0)		 = 0 0
stat64("/private/var/db/dyld/dyld_shared_cache_x86_64h\0", 0x7FFEE787BD20, 0x0)		 = 0 0
csrctl(0x0, 0x7FFEE787BF2C, 0x4)		 = -1 Err#1
getpid(0x0, 0x0, 0x0)		 = 1681 0
proc_info(0x2, 0x691, 0x1F)		 = 1040 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Python\0", 0x7FFEE787B180, 0x0)		 = 0 0
stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFEE787B180, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation\0", 0x7FFEE787B180, 0x0)		 = 0 0
stat64("/usr/lib/system/libcache.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libcommonCrypto.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libcompiler_rt.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
